Nr,Artikel,Nomen
0,der,Ärger
1,der,Abend
2,der,Abflug
3,der,Absender
4,der,Alkohol
5,der,Anfang
6,der,Angestellte
7,der,Anruf
8,der,Anrufbeantworter
9,der,Anschluss
10,der,Anzug
11,der,Apfel
12,der,Appetit
13,der,April
14,der,Arbeitsplatz
15,der,Arm
16,der,Arzt
17,der,Aufenthalt
18,der,Aufzug
19,der,August
20,der,Ausflug
21,der, Ausgang
22,der, Ausländer
23,der, Ausweis
24,der, Automat
25,der,Bahnhof
26,der,Bahnsteig
27,der,Balkon
28,der,Baum
29,der, Beamte
30,der,Bekannte
31,der,Berg
32,der,Beruf
33,der,Besuch
34,der,Betrag
35,der,Bildschirm
36,der, Bleistift
37,der,Blick
38,der,Bogen
39,der,Brief
40,der, Briefkasten
41,der,Briefumschlag
42,der,Bruder
43,der,Buchstabe
44,der,Bus
45,der,Chef
46,der, Computer
47,der,Dank
48,der,Deutsche
49,der,Dezember
50,der,Dienstag
51,der,Doktor
52,der,Dom
53,der,Donnerstag
54,der,Drucker
55,der,Durst
56,der, Ehemann
57,der, Eingang
58,der,Eintritt
59,der,Einwohner
60,der,Empfänger
61,der, Empfang
62,der,Enkel
63,die, Erwachsene
64,der, Export
65,der,Führerschein
66,der, Fahrer
67,der,Fahrplan
68,der, Familienname
69,der,Familienstand
70,der, Februar
71,der, Fehler
72,der,Film
73,der,Fisch
74,der,Flughafen
75,der,Flur
76,der, Fluss
77,der, Fotoapparat
78,der,der Frühling
79,der,Freitag
80,der, Freund
81,der, Friseur
82,der,uß
83,der, Fußball
84,der,Garten
85,der, Gast
86,der,Geburtsort
87,der,Geburtstag
88,der, Glückwunsch
89,der,Großvater
90,der,Gruß
91,der,Hals
92,der, Haushalt
93,der, Hausmann
94,der, Herbst
95,der, Herd
96,der, Herr
97,der, Hund
98,der,Hunger
99,der,Import
100,der,Inhalt
101,der, Januar
102,der, Job
103,der, Jugendliche
104,der, Juli
105,der, Junge
106,der, Juni
107,der, Käse
108,der, Körper
109,der, Kühlschrank
110,der, Kaffee
111,der, Kalender
112,der, Kassettenrecorder
113,der, Keller
114,der,Kellner
115,der, Kindergarten
116,der, Kinderwagen
117,der, Kiosk
118,der, Koffer
119,der, Kollege
120,der, Kontakt
121,der, Kopf
122,der, Kredit
123,der,Kreis
124,der, Kuchen
125,der, Kugelschreiber
126,der,Kunde
127,der,Kurs
128,der, Löffel
129,der, Laden
130,der, Lehrer
131,der, LKW
132,der, Loch
133,der, Lohn
134,der, März
135,der, Müll
136,der,Magen
137,der,Mai
138,der,Mann
139,der,Mantel
140,der,Markt
141,der,Mechaniker
142,der, Mensch
143,der, Messer
144,der, Mittag
145,der, Mittwoch
146,der, Moment
147,der, Monat
148,der, Montag
149,der, Morgen
150,der, Motor
151,der, Mund
152,der, Nachbar
153,der, Nachmittag
154,der, Name
155,der, Nebel
156,der, Norden
157,der, Notarzt
158,der, Notfall
159,der, November
160,der, Ober
161,der, Oktober
162,der,Opa
163,der,Ort
164,der,Osten
165,der,Park
166,der,Partner
167,der,Pass
168,der,Pkw
169,der,Plan
170,der,Platz
171,der,Preis
172,der,Prospekt
173,der,Pullover
174,der,Rücken
175,der,Rabatt
176,der,Raucher
177,der,Raum
178,der,Regen
179,der,Reifen
180,der,Reis
181,der,Reiseführer
182,der,Rock
183,der,Rundgang
184,der,Süden
185,der,Saft
186,der,Salat
187,der,Satz
188,der,Schüler
189,der,Schalter
190,der,Schild
191,der,Schinken
192,der,Schirm
193,der,Schlüssel
194,der,Schluss
195,der,Schnee
196,der,Schnupfen
197,der,Schrank
198,der,Schuh
199,der,See
200,der,September
201,der,Service
202,der,Sessel
203,der,Sohn
204,der,Sommer
205,der,Sonntag
206,der,Spaß
207,der,Spaziergang
208,der,Spielplatz
209,der,Stempel
210,der,Stock
211,der,Stoff
212,der, Strand
213,der, Strom
214,der,Student
215,der,Stuhl
216,der,Supermarkt
217,der,Tag
218,der,Teil
219,der,Teller
220,der,Teppich
221,der,Termin
222,der,Test
223,der,Text
224,der,Tipp
225,der,Tisch
226,der,Topf
227,der,Tourist
228,der,Turm
229,der,Tyr
230,der,Unfall
231,der,Unterricht
232,der,Unterschied
233,der,Urlaub
234,der,Vater
235,der,Verein
236,der,Verkäufer
237,der,Verkehr
238,der,Vermieter
239,der,Vertrag
240,der,Vogel
241,der,Vormittag
242,der,Vorname
243,der,Wagen
244,der,Wald
245,der,Weg
246,der,Wein
247,der,Westen
248,der,Wetter
249,der,Wind
250,der,Winter
251,der,Wochentag
252,der,Wunsch
253,der,Zahn
254,der,Zettel
255,der,Zoll
256,der,Zucker
257,der,Zug
258,die,Ärztin
259,die,Übernachtung
260,die,Abfahrt
261,die,Adresse
262,die,Ampel
263,die,Angestellte
264,die,Angst
265,die,Ankunft
266,die,Anmeldung
267,die,Anrede
268,die,Ansage
269,die,Antwort
270,die,Anzeige
271,die,Apotheke
272,die,Arbeit
273,die,Aufgabe
274,die,Auge
275,die,Ausbildung
276,die,Auskunft
277,die,Ausländerin
278,die,Aussage
279,die,Ausstellung
280,die,Autobahn
